 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET ---testing_cyl_avg_2nmlatt                                            
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 FROM_FILE --- shape 
   2445 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.6736E-02 7.9000E-01 2.6184E-03 1.5157E-03 1.1039E-03  8.2570E-02 1.0000E+00 1.1946E-04     2
1.6736E-02 7.9500E-01 2.5697E-03 1.4994E-03 1.0715E-03  8.1522E-02 1.0000E+00 1.1610E-04     2
1.6736E-02 8.0000E-01 2.5220E-03 1.4829E-03 1.0404E-03  8.0494E-02 1.0000E+00 1.1286E-04     2
1.6736E-02 8.0500E-01 2.4754E-03 1.4662E-03 1.0104E-03  7.9486E-02 1.0000E+00 1.0974E-04     2
1.6736E-02 8.1000E-01 2.4298E-03 1.4495E-03 9.8146E-04  7.8496E-02 1.0000E+00 1.0672E-04     2
1.6736E-02 8.1500E-01 2.3851E-03 1.4327E-03 9.5360E-04  7.7525E-02 1.0000E+00 1.0381E-04     2
1.6736E-02 8.2000E-01 2.3414E-03 1.4158E-03 9.2673E-04  7.6572E-02 1.0000E+00 1.0100E-04     2
1.6736E-02 8.2500E-01 2.2786E-03 1.3792E-03 9.0049E-04  7.5636E-02 1.0000E+00 9.8250E-05     2
1.6736E-02 8.3000E-01 2.2128E-03 1.3388E-03 8.7515E-04  7.4717E-02 1.0000E+00 9.5590E-05     2
1.6736E-02 8.3500E-01 2.1492E-03 1.2996E-03 8.5074E-04  7.3814E-02 1.0000E+00 9.3024E-05     2
1.6736E-02 8.4000E-01 2.0877E-03 1.2615E-03 8.2721E-04  7.2928E-02 1.0000E+00 9.0548E-05     2
1.6736E-02 8.4500E-01 2.0281E-03 1.2246E-03 8.0455E-04  7.2058E-02 1.0000E+00 8.8159E-05     2
1.6736E-02 8.5000E-01 1.9704E-03 1.1887E-03 7.8270E-04  7.1203E-02 1.0000E+00 8.5852E-05     2
1.6736E-02 8.5500E-01 1.9145E-03 1.1539E-03 7.6162E-04  7.0364E-02 1.0000E+00 8.3624E-05     2
1.6736E-02 8.6000E-01 1.8604E-03 1.1200E-03 7.4128E-04  6.9540E-02 1.0000E+00 8.1471E-05     2
1.6736E-02 8.6500E-01 1.8079E-03 1.0871E-03 7.2164E-04  6.8730E-02 1.0000E+00 7.9391E-05     2
1.6736E-02 8.7000E-01 1.7570E-03 1.0552E-03 7.0270E-04  6.7934E-02 1.0000E+00 7.7380E-05     2
1.6736E-02 8.7500E-01 1.7077E-03 1.0241E-03 6.8439E-04  6.7152E-02 1.0000E+00 7.5435E-05     2
1.6736E-02 8.8000E-01 1.6598E-03 9.9395E-04 6.6671E-04  6.6383E-02 1.0000E+00 7.3554E-05     2
1.6736E-02 8.8500E-01 1.6134E-03 9.6460E-04 6.4962E-04  6.5627E-02 1.0000E+00 7.1733E-05     2
1.6736E-02 8.9000E-01 1.5684E-03 9.3607E-04 6.3310E-04  6.4884E-02 1.0000E+00 6.9971E-05     2
1.6736E-02 8.9500E-01 1.5272E-03 9.1067E-04 6.1724E-04  6.4154E-02 1.0000E+00 6.8277E-05     2
1.6736E-02 9.0000E-01 1.4888E-03 8.8761E-04 6.0195E-04  6.3437E-02 1.0000E+00 6.6643E-05     2
